index,composition,
1,Hg0.7Cd0.3Te,1
2,CuBr,1
3,LuP,1
4,Cu3SbSe4,1
5,ZnO,1
6,PtSb2,1
7,ZnIn2S4,1
8,K2Cd3Te4,1
9,K4Sn3Ce3S14,1
10,Pb6B2CrO12,1
11,InSb,1
12,Sr2Be2B2O7,1
13,K2CuNbS4,1
14,PrTe2,1
15,BAs,1
16,Ba4Ga4GeSe12,1
17,CuBr,1
18,HgSe,1
19,AgIn5Te8,1
20,Rb7Th2P6Se21,1
21,TlS,1
22,CdS,1
23,Al2Se3,1
24,In2GeTe3,1
25,BiSeBr,1
26,GaAs0.4P0.6,1
27,K2AuPS4,1
28,CsH3Se2O6,1
29,CsB3GeO7,1
30,Pb0.97Sn0.03Te,1
31,PtAs2,1
32,SnGa4S7,1
33,Si3N4,1
34,Gd1.05Sc0.95Se3,1
35,Cs2ZnGe3Se8,1
36,CeO2,1
37,KAgAsS2,1
38,Mn11Si19,1
39,SrTe,1
40,Pb0.97Se0.97Sn0.03Se0.03,1
41,LaCuOS,1
42,AlSb,1
43,Tl2AuPS4,1
44,Cs3Sn3F2Cl7,1
45,Cs1.13Cd1.13Bi2.87Se6,1
46,AgI,1
47,PtSb2,1
48,Hg0.1Zn0.9Te,1
49,TlBiTe3,1
50,CuCl,1
51,Pb0.92Sn0.08Se,1
52,CdSe,1
53,Cu3SbS4,1
54,GaAs,1
55,As2Te3,1
56,SrB6,1
57,GaN,1
58,Cd3As2,1
59,WO3,1
60,EuYb2Se4,1
61,Bi2Te2.4Se0.6,1
62,Ge0.3Si0.7,1
63,CuN3,1
64,CdP4,1
65,MnI2,1
66,InSb,1
67,TmAs,1
68,CdS,1
69,Ga0.3As0.3Zn0.7Se0.7,1
70,Cd4GdB3O10,1
71,Cd3P2,1
72,SmAs,1
73,RbSbS2,1
74,Na5GdMo4O16,1
75,Sr2V2Se3O15,1
76,UP2S7,1
77,GaAs,1
78,TaON,1
79,RbBr,1
80,PdSe2,1
81,Ba3EuP3O12,1
82,RbBr,1
83,SbSeI,1
84,KBiSe2,1
85,Bi0.4Te3Sb1.6,1
86,Na2TeSe3,1
87,Tl2Te3,1
88,Al0.74Gd3Si0.7S7,1
89,CsTbZnTe3,1
90,BaB6,1
91,La5In3S9O3,1
92,PbN6,1
93,GaN,1
94,CaO,1
95,Na2S,1
96,Rb2Cd3Te4,1
97,AgI,1
98,CdSe,1
99,SnSe,1
100,Rb2BaNb2Se11,1
101,TaZrN3,1
102,Ba3In2P4O16,1
103,In0.2P0.2Ga0.8As0.8,1
104,RbTa3Te2O12,1
105,GaTe,1
106,ZnO,1
107,Ag2SnS3,1
108,SnSe,1
109,Ba2GaErTe5,1
110,Na3MoO4Cl,1
111,K2Hg3Sn2S8,1
112,CdSb,1
113,GeSe,1
114,HfS3,1
115,Ga0.9Sb0.9Hg0.1Te0.1,1
116,InSb2S4Cl,1
117,GaS,1
118,PtS,1
119,AgS,1
120,Cs2P2Se8,1
121,Y4GaSbS9,1
122,Zn0.55S0.55Ga0.45P0.45,1
123,Zn0.95S0.95Ga0.05P0.05,1
124,Mg2Sn,1
125,Ga1.002Sb0.998Te0.006,1
126,CsF,1
127,KSbSe2,1
128,Ag3AsSe3,1
129,As2Se3,1
130,LiGaSe2,1
131,NbSe2,1
132,Rb2CsSb,1
133,OsS2,1
134,GeS,1
135,RuAs2,1
136,InSb0.99As0.01,1
137,Ga1.1Sb0.9Se0.3,1
138,Sm2S3,1
139,SiP,1
140,YbB66,1
141,Pb0.9Sn0.1Se,1
142,TlTiPS5,1
143,CsYbMnSe3,1
144,K10Fe4Sn4S17,1
145,Pb0.95Te0.95Ge0.05S0.05,1
146,BaSe,1
147,K4In4P6Se20,1
148,Pb0.94Sn0.06Te,1
149,Bi2Te0.45Se2.55,1
150,KNb3Te2O12,1
151,Cd4P2I3,1
152,Cr2S3,1
153,InSe,1
154,Sr0.5TaO3,1
155,Tb4GaSbS9,1
156,Na3Sb,1
157,B12P2,1
158,Dy2Te3,1
159,TiTlS2,1
160,Bi2S3,1
161,Ba2GaYTe5,1
162,Pb0.99Se0.99Sn0.01Se0.01,1
163,Tl2InGaSe4,1
164,NaLaS3,1
165,CsGe5BO12,1
166,Tl2.35Sb8.65Se14,1
167,SnS0.8Se0.2,1
168,Hg3PS4,1
169,Zn2In2S5,1
170,Cs2ZnGe3Te8,1
171,EuSb4S7,1
172,PbSe,1
173,Na0.75Eu1.625GeSe4,1
174,PbI2,1
175,ZnHg3Se2Cl4,1
176,EuBiW2O9,1
177,CsSb,1
178,Hg2I2,1
179,Rb3CdB5O10,1
180,Hg0.5Cd0.5Se,1
181,TlInSe2,1
182,TaGaSe2,1
183,Ir0.67Se2,1
184,Bi2Se3,1
185,La2Ge2Se7,1
186,Bi12GeO20,1
187,CaSnO3,1
188,Ba2Sb7O14H,1
189,GaS,1
190,Sr3EuP3O12,1
191,Zn0.15Cd0.85Se,1
192,CuCl,1
193,CsLuCoS3,1
194,BiSBr,1
195,CoP2,1
196,NaBr,1
197,Pb0.95Mn0.05Te,1
198,TlBr,1
199,Ba6Ga2SnSe11,1
200,La4Cd4In2S13,1
201,CsAg2AsS3,1
202,HgSe,1
203,MnO2,1
204,SbSI,1
205,CuSbSe2,1
206,Ce2Sn3Se9,1
207,Hg0.7Cd0.3Te,1
208,RuSe2,1
209,Na2Hg3Ge2S8,1
210,Hg4P2ZrCl6,1
211,Cs3Bi,1
212,RbCd4Ga5S12,1
213,GaSb,1
214,Cs4Cu3Bi9S17,1
215,SeTe,1
216,GaTe,1
217,La1.86Tb1.14Ga1.67S7,1
218,ZnSe,1
219,SrPbO3,1
220,Na7Co2O6,1
221,In0.99Al0.01P,1
222,PbSe0.99S0.01,1
223,Bi2Te2Se,1
224,Cu3NbSe4,1
225,Ba4LiGa5Se12,1
226,GaSe,1
227,Ag3SbS3,1
228,Ga0.4Al0.6P,1
229,Tl2Se,1
230,RbInTe3O8,1
231,K2RbSb,1
232,Ga2Te3,1
233,CdIn2Te4,1
234,PbO2,1
235,AgFeTe2,1
236,TlCl,1
237,ZnSe,1
238,Li2WTeO6,1
239,Nd2Se3,1
240,SbSeI,1
241,K3B6O10Cl,1
242,ZrSe3,1
243,Rb5BS4O16,1
244,KCuThS3,1
245,InSb0.3As0.7,1
246,Cu3AsS4,1
247,Pr2Te3,1
248,Eu3Sb4S9,1
249,Ba2V2Te2O11,1
250,Na2In2GeS6,1
251,AlSb,1
252,HgIn2Se4,1
253,Cd4V3Te3O15,1
254,AgAlS2,1
255,Rb2Cu2SnS4,1
256,TlBr,1
257,TlTaS3,1
258,CuGaTe2,1
259,Cu0.35Ga1.65S2.65,1
260,CdBiO2Cl,1
261,Ga2S3,1
262,Si30P16Te8,1
263,Ga1.01Sb0.99Se0.03,1
264,EuHo2Se4,1
265,HgSe,1
266,As2Te3,1
267,GaN,1
268,CuCl,1
269,Zn0.5Hg0.5Se,1
270,Mg3Sb2,1
271,GeSe,1
272,TaGaS2,1
273,Pb0.01Sn0.99Te,1
274,Pb0.8Sn0.2Se,1
275,SmTe,1
276,Ce2GeSe5,1
277,RbBiSe2,1
278,GaAs0.05Sb0.95,1
279,CrSb2,1
280,La2GeSe5,1
281,TlScTe2,1
282,GaS,1
283,CdSb,1
284,Sr2TiO4,1
285,Nb2O5,1
286,In6S7,1
287,Hg4P2HfCl6,1
288,PbSe,1
289,DyN,1
290,CsInTe3O8,1
291,Cu5Ta11O30,1
292,LiB3O5,1
293,LaF3,1
294,AlN,1
295,Zn2In2S5,1
296,K2Sb8Se3,1
297,CaS,1
298,CdSiAs2,1
299,IrP2,1
300,Ba3Bi2TeO9,1
301,As2Te3,1
302,NaNO2,1
303,Cs3As,1
304,CuInS2,1
305,SnS2,1
306,SbI3,1
307,RbI,1
308,PbSe0.5S0.5,1
309,Mn2P2Se6,1
310,Na2CdGe2Se6,1
311,KAg2PS4,1
312,Cu0.5Ga1.5S2.5,1
313,P2Se5,1
314,Na2BaSnS4,1
315,Pb4Ga5GeS12,1
316,CsAg5Te3,1
317,GaSb,1
318,TlBr,1
319,CdS,1
320,TlPTe,1
321,Pb0.94Se0.94Ge0.06Te0.06,1
322,BiI3,1
323,BaZnGeSe4,1
324,SiP2,1
325,Pb7Bi4Se13,1
326,Sr2Bi5.42La2.58S14,1
327,YbSnTe2,1
328,BaPrO3,1
329,CaS,1
330,As2S3,1
331,Dy2O3,1
332,AgGaGe5Se12,1
333,LaBeB3O7,1
334,Ba2GaSmTe5,1
335,Zn0.7S0.7Ga0.3P0.3,1
336,Na2EuGeSe4,1
337,AlSb,1
338,Li6Rb5B11O22,1
339,K9Bi13S24,1
340,MnO,1
341,KBaB5O9,1
342,FeI2,1
343,CdS,1
344,La3LuSe6,1
345,PrF3,1
346,NdIn3S6,1
347,AgS,1
348,NaSbSe2,1
349,Mg2Sn,1
350,NdFMoO4,1
351,CdSb,1
352,Ru2Ge3,1
353,ZnAs,1
354,Bi2YVO8,1
355,LiTaO3,1
356,CsYbCoSe3,1
357,K2Hg3Sn2S8,1
358,PbSe,1
359,Ho2HfS5,1
