idx,composition,E_f,wyckoff
81d22fe8a986155d0173dddff2d8c306eba72b29,HfZnN4,0.48419111666666836,"('Hf @ 2-a-14', 'Hf @ 2-d-14', 'N @ 4-e-14', 'N @ 4-e-14', 'N @ 4-e-14', 'N @ 4-e-14', 'Zn @ 4-e-14')"
7f8bfe0652523f629bbccfb010bb6e3055b27cf6,Ti2Zn4N9,0.04081101166666645,"('N @ 4-c-62', 'N @ 4-c-62', 'N @ 4-c-62', 'N @ 8-d-62', 'N @ 8-d-62', 'N @ 8-d-62', 'Ti @ 8-d-62', 'Zn @ 4-c-62', 'Zn @ 4-c-62', 'Zn @ 8-d-62')"
Zr3N2_computed,Zr3N2,-1.4378433499999996,"('N @ 12-c-167', 'Zr @ 18-e-167')"
81a6f40afa416de96fbfcd8c8389ee14ba0b1271,Ti(ZnN)3,-0.203529896428571,"('N @ 4-c-62', 'N @ 8-d-62', 'Ti @ 4-c-62', 'Zn @ 4-c-62', 'Zn @ 8-d-62')"
5e48c7980b4640049f609932527ee0ca4891395c,Ti2Zn2N5,-0.4401724694444429,"('N @ 4-a-36', 'N @ 4-a-36', 'N @ 4-a-36', 'N @ 4-a-36', 'N @ 4-a-36', 'Ti @ 4-a-36', 'Ti @ 4-a-36', 'Zn @ 4-a-36', 'Zn @ 4-a-36')"
fd398ff7abab8756c2061dcc605b349c0ebabe65,Hf3ZnN3,-1.1993488107142873,"('Hf @ 4-i-12', 'Hf @ 4-i-12', 'Hf @ 4-i-12', 'N @ 4-i-12', 'N @ 4-i-12', 'N @ 4-i-12', 'Zn @ 4-i-12')"
59b009e979ead5622db0c0fc65ee6d47b98796d4,HfZn3N5,0.3915379416666678,"('Hf @ 3-a-152', 'N @ 3-a-152', 'N @ 6-c-152', 'N @ 6-c-152', 'Zn @ 3-b-152', 'Zn @ 6-c-152')"
6171c9b7178ec5c70520cb1016376f6509404dcc,Zr3ZnN5,-0.8988121027777751,"('N @ 16-g-130', 'N @ 4-c-130', 'Zn @ 4-b-130', 'Zr @ 4-c-130', 'Zr @ 8-f-130')"
34d48230f1931877122f50bafe8aadbc6a784210,Zr3(ZnN4)2,-0.16483366153846113,"('N @ 3-a-160', 'N @ 3-a-160', 'N @ 9-b-160', 'N @ 9-b-160', 'Zn @ 3-a-160', 'Zn @ 3-a-160', 'Zr @ 9-b-160')"
f802b54c0499fc1fdc24365723f98ca4397e812f,ZrZn6N5,-0.045744535416666565,"('N @ 2-a-107', 'N @ 8-d-107', 'Zn @ 4-b-107', 'Zn @ 8-c-107', 'Zr @ 2-a-107')"
608e8d3ab18fc4a6115756391e56e5c42512444c,Ti4ZnN3,-1.0655972093749995,"('N @ 4-c-62', 'N @ 4-c-62', 'N @ 4-c-62', 'Ti @ 4-c-62', 'Ti @ 4-c-62', 'Ti @ 4-c-62', 'Ti @ 4-c-62', 'Zn @ 4-c-62')"
c9d53aefba145be5e14cd33629a5d87b18e05d87,Ti2(ZnN3)3,0.14944978392857156,"('N @ 4-g-12', 'N @ 4-i-12', 'N @ 4-i-12', 'N @ 8-j-12', 'N @ 8-j-12', 'N @ 8-j-12', 'Ti @ 8-j-12', 'Zn @ 4-i-12', 'Zn @ 8-j-12')"
172810c54cc300999263c4dd8ae919890f9d5d24,Zr2Zn2N,0.5946816549999996,"('N @ 1-a-187', 'Zn @ 2-h-187', 'Zr @ 1-b-187', 'Zr @ 1-f-187')"
cd1ad4df40478c887cc9926a6e26a7f414df4722,Hf3Zn3N,0.6138989964285706,"('Hf @ 16-c-227', 'Hf @ 32-e-227', 'N @ 16-d-227', 'Zn @ 48-f-227')"
93cd993ade278acd965724e6dcc0426cd0ac146b,TiZn11N4,0.45561088750000023,"('N @ 1-a-123', 'N @ 1-c-123', 'N @ 2-f-123', 'Ti @ 1-b-123', 'Zn @ 1-d-123', 'Zn @ 2-e-123', 'Zn @ 4-k-123', 'Zn @ 4-l-123')"
85cc5855ea26536d6ab0285191c6658a5d6e3346,ZrZnN9,0.4274673250000012,"('N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'Zn @ 2-i-2', 'Zr @ 2-i-2')"
4a0450740c515af763daf5f6ebd3b52d0ac654bd,Ti2ZnN6,0.767473105555557,"('N @ 8-d-60', 'N @ 8-d-60', 'N @ 8-d-60', 'Ti @ 4-c-60', 'Ti @ 4-c-60', 'Zn @ 4-c-60')"
ca9cceb32c052efceafb9170c22bcf0c5e6674de,HfZnN6,0.4329519937500006,"('Hf @ 4-c-67', 'N @ 16-o-67', 'N @ 8-n-67', 'Zn @ 4-g-67')"
c89ba05b3701b9525a5a1007ef1d058c85cfb04a,Hf5(ZnN2)2,-1.0290100090909098,"('Hf @ 4-a-64', 'Hf @ 8-f-64', 'Hf @ 8-f-64', 'N @ 8-f-64', 'N @ 8-f-64', 'Zn @ 8-f-64')"
d1a8f3bae40a3604b122695d28bc367c17ff2119,Hf6ZnN12,-0.25387441052631665,"('Hf @ 18-f-148', 'N @ 18-f-148', 'N @ 18-f-148', 'Zn @ 3-a-148')"
a71db568bcbf9b0d45d48a3d501b2e7bef8a614c,Ti2Zn4N7,0.19211853269230872,"('N @ 16-g-64', 'N @ 4-a-64', 'N @ 8-f-64', 'Ti @ 8-f-64', 'Zn @ 16-g-64')"
ef3fd75e1573a11afec8d6450afc90707fb12c72,Ti6ZnN2,-0.2732905055555541,"('N @ 2-c-189', 'Ti @ 3-f-189', 'Ti @ 3-g-189', 'Zn @ 1-b-189')"
7a9a145ca829f82daf2fdf9390f37edb56843b65,HfZn4N7,0.9389753270833339,"('Hf @ 2-c-176', 'N @ 12-i-176', 'N @ 2-a-176', 'Zn @ 4-e-176', 'Zn @ 4-f-176')"
6a059d9e850c2ea6c20aaf7b86a41d7c47f7908b,Zr5ZnN2,-0.15495419375000008,"('N @ 1-a-1', 'N @ 1-a-1', 'Zn @ 1-a-1', 'Zr @ 1-a-1', 'Zr @ 1-a-1', 'Zr @ 1-a-1', 'Zr @ 1-a-1', 'Zr @ 1-a-1')"
11324eeadc796d9fc258f3d0b0a3784a578824f7,Ti2ZnN7,-0.3409834175000004,"('N @ 1-a-10', 'N @ 2-m-10', 'N @ 2-m-10', 'N @ 2-n-10', 'Ti @ 2-m-10', 'Zn @ 1-f-10')"
56e8a3a28101450def921bd59bf435ea0e654134,Zr(ZnN2)2,0.44955348571428466,"('N @ 16-j-74', 'N @ 4-e-74', 'N @ 4-e-74', 'N @ 8-h-74', 'Zn @ 4-a-74', 'Zn @ 4-e-74', 'Zn @ 8-g-74', 'Zr @ 8-h-74')"
9648a24172e8c9acc45aec054205a48c2d121adc,Ti2ZnN4,-0.3845898285714284,"('N @ 4-c-5', 'N @ 4-c-5', 'N @ 4-c-5', 'N @ 4-c-5', 'Ti @ 2-a-5', 'Ti @ 2-b-5', 'Ti @ 4-c-5', 'Zn @ 4-c-5')"
5a5d128835198cd1b7476573874044e318d94581,Zr4ZnN9,0.1704479696428578,"('N @ 2-a-85', 'N @ 8-g-85', 'N @ 8-g-85', 'Zn @ 2-c-85', 'Zr @ 8-g-85')"
e569135b5f6805cc8e9f24041c05e342b4a60f40,Hf(ZnN2)2,0.40476327142857205,"('Hf @ 4-a-64', 'N @ 8-d-64', 'N @ 8-f-64', 'Zn @ 8-d-64')"
263be6745b95a21022c86cc17562f6644e356e6d,Zr3(ZnN4)2,0.1933772615384619,"('N @ 4-g-58', 'N @ 4-g-58', 'N @ 8-h-58', 'Zn @ 4-g-58', 'Zr @ 2-a-58', 'Zr @ 4-f-58')"
a983adb9788c420690aa6dafb96af0164167d70f,Zr(ZnN3)2,0.725805961111111,"('N @ 4-c-62', 'N @ 4-c-62', 'N @ 4-c-62', 'N @ 4-c-62', 'N @ 8-d-62', 'Zn @ 8-d-62', 'Zr @ 4-c-62')"
59da7a2119ff8dd0cb4880df5a7aa3fa365f7c69,ZrZn3N7,0.6810486568181826,"('N @ 2-a-127', 'N @ 4-h-127', 'N @ 8-k-127', 'Zn @ 2-b-127', 'Zn @ 4-g-127', 'Zr @ 2-c-127')"
e48c9db92da6d86a05bfee7fb24c57f95abcf3f5,Hf7Zn4N15,-0.5588851567307689,"('Hf @ 2-a-14', 'Hf @ 4-e-14', 'Hf @ 4-e-14', 'Hf @ 4-e-14', 'N @ 2-c-14', 'N @ 4-e-14', 'N @ 4-e-14', 'N @ 4-e-14', 'N @ 4-e-14', 'N @ 4-e-14', 'N @ 4-e-14', 'N @ 4-e-14', 'Zn @ 4-e-14', 'Zn @ 4-e-14')"
e37c3ebb7285262b60fceb474262155508b1c2b9,Hf2ZnN8,0.06740615454545473,"('Hf @ 4-g-13', 'N @ 4-g-13', 'N @ 4-g-13', 'N @ 4-g-13', 'N @ 4-g-13', 'Zn @ 2-e-13')"
562470b56b856c421862213ee9a88b0cb3b77539,ZrZn3N,0.1320418950000004,"('N @ 4-a-63', 'Zn @ 4-c-63', 'Zn @ 8-f-63', 'Zr @ 4-c-63')"
0a71eedb2bac854c101d2106202b188f3138287c,Zr2ZnN4,-0.5396981142857147,"('N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'Zn @ 2-i-2', 'Zr @ 2-i-2', 'Zr @ 2-i-2')"
6cd77a045dbe6443149e7e8cea41db054ecaee3f,Ti2ZnN4,0.23574395714285767,"('N @ 4-d-139', 'N @ 4-e-139', 'Ti @ 4-e-139', 'Zn @ 2-a-139')"
2b2383b2bd842fe52e2acca887aa98acd869c9cc,Ti4ZnN6,-0.5216545500000009,"('N @ 4-e-128', 'N @ 8-h-128', 'Ti @ 8-g-128', 'Zn @ 2-a-128')"
12a613de63005faf6e6fdb0985de2a9238c427ab,Hf3ZnN6,-0.9347963050000008,"('Hf @ 1-a-2', 'Hf @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'Zn @ 1-b-2')"
a5a2dd9747e6e19ac45a3ffb94d8623eb55389eb,Zr3ZnN3,-0.5766926678571425,"('N @ 9-d-155', 'Zn @ 3-a-155', 'Zr @ 9-d-155')"
4dc8c6aaeedebf3eacc6f3c4a49d8de6d04afc83,Zr2ZnN4,-0.4952365428571426,"('N @ 4-i-12', 'N @ 4-i-12', 'Zn @ 2-a-12', 'Zr @ 4-i-12')"
bcdda1d0edee8739fd76f26c7b51e0a8c1786c9d,Hf2Zn2N5,-0.33878630277777777,"('Hf @ 8-e-52', 'N @ 4-c-52', 'N @ 4-c-52', 'N @ 4-d-52', 'N @ 8-e-52', 'Zn @ 8-e-52')"
6c2d83a60cc7c3cbeb21355536593a10b3c71450,Ti2ZnN5,-0.23883474062499932,"('N @ 4-g-12', 'N @ 4-i-12', 'N @ 4-i-12', 'N @ 8-j-12', 'Ti @ 4-i-12', 'Ti @ 4-i-12', 'Zn @ 4-i-12')"
cee25e87468a1d8ca9bcaef539a2edca435e7f86,Zr2ZnN6,-0.10102917222222274,"('N @ 4-a-33', 'N @ 4-a-33', 'N @ 4-a-33', 'N @ 4-a-33', 'N @ 4-a-33', 'N @ 4-a-33', 'Zn @ 4-a-33', 'Zr @ 4-a-33', 'Zr @ 4-a-33')"
15fe277f62b2335326bbc508085ae4dee3425eac,Hf4Zn2N7,-0.7139478826923078,"('Hf @ 4-e-14', 'Hf @ 4-e-14', 'N @ 2-a-14', 'N @ 4-e-14', 'N @ 4-e-14', 'N @ 4-e-14', 'Zn @ 4-e-14')"
71e9ab4a14c8f2548a80f2a0d9cd5fe2410bfbe3,Hf2ZnN6,-0.11627961666666575,"('Hf @ 4-a-29', 'Hf @ 4-a-29', 'N @ 4-a-29', 'N @ 4-a-29', 'N @ 4-a-29', 'N @ 4-a-29', 'N @ 4-a-29', 'N @ 4-a-29', 'Zn @ 4-a-29')"
a4b98ee1eda0d20a95a9c34412481c24cc5cc9d1,HfZnN3,-0.0325315349999995,"('Hf @ 8-c-69', 'N @ 8-f-69', 'N @ 8-h-69', 'N @ 8-i-69', 'Zn @ 8-g-69')"
733b406bd7dbe080289d818353dad7cbaf53a142,Zr2ZnN6,-0.18832722777777633,"('N @ 16-h-63', 'N @ 4-c-63', 'N @ 4-c-63', 'Zn @ 4-c-63', 'Zr @ 4-c-63', 'Zr @ 4-c-63')"
302ac091be00ecb90388086e3df93ba6432690d3,Hf(ZnN5)2,0.44079131923076886,"('Hf @ 2-a-12', 'N @ 4-i-12', 'N @ 4-i-12', 'N @ 4-i-12', 'N @ 8-j-12', 'Zn @ 4-i-12')"
668dd01771354d39af2a092465fe945e8465319e,TiZnN3,0.01458853166666696,"('N @ 3-f-189', 'N @ 6-i-189', 'Ti @ 3-f-189', 'Zn @ 3-g-189')"
029c61aca8a7ad86de4e3b57cb2a7354b9f745ec,ZrZnN3,0.8621708150000007,"('N @ 4-a-57', 'N @ 4-c-57', 'N @ 4-d-57', 'Zn @ 4-d-57', 'Zr @ 4-b-57')"
f93ddaeb101c62a9d15196927596a39569f103de,Hf6ZnN9,-1.2750379015624986,"('Hf @ 4-i-12', 'Hf @ 4-i-12', 'Hf @ 4-i-12', 'N @ 2-a-12', 'N @ 4-i-12', 'N @ 4-i-12', 'N @ 4-i-12', 'N @ 4-i-12', 'Zn @ 2-c-12')"
a5d6c507222641e112d2e30a3d09ccd2a8eb4fe6,Zr3ZnN6,-0.7031135549999998,"('N @ 8-f-15', 'N @ 8-f-15', 'N @ 8-f-15', 'N @ 8-f-15', 'N @ 8-f-15', 'N @ 8-f-15', 'Zn @ 4-c-15', 'Zn @ 4-e-15', 'Zr @ 8-f-15', 'Zr @ 8-f-15', 'Zr @ 8-f-15')"
0e7511191497cbbf7a468b46e578e792c9782663,Hf2Zn4N5,-0.4558010750000001,"('Hf @ 2-d-164', 'N @ 1-a-164', 'N @ 2-d-164', 'N @ 2-d-164', 'Zn @ 2-c-164', 'Zn @ 2-d-164')"
3b544d73507e36d9c5e031a6dad2d08f1e1c6050,Hf3Zn2N5,-0.8727066725000006,"('Hf @ 4-c-62', 'Hf @ 8-d-62', 'N @ 4-c-62', 'N @ 4-c-62', 'N @ 4-c-62', 'N @ 8-d-62', 'Zn @ 4-c-62', 'Zn @ 4-c-62')"
c8ef995e607477ffbda42ba65f85da92ca168bc9,Zr(ZnN)6,0.034417650000000855,"('N @ 18-f-148', 'Zn @ 18-f-148', 'Zr @ 3-a-148')"
5b0079f5afb41b71521a1dd3a4cf3b2fb8f19b6c,Hf2ZnN6,0.654686772222222,"('Hf @ 4-a-9', 'Hf @ 4-a-9', 'N @ 4-a-9', 'N @ 4-a-9', 'N @ 4-a-9', 'N @ 4-a-9', 'N @ 4-a-9', 'N @ 4-a-9', 'Zn @ 4-a-9')"
33522009bfc91162ea25cc1e021ff265357b0076,ZrZn2N5,0.5931495135416673,"('N @ 2-a-5', 'N @ 4-c-5', 'N @ 4-c-5', 'N @ 4-c-5', 'N @ 4-c-5', 'N @ 4-c-5', 'N @ 4-c-5', 'N @ 4-c-5', 'Zn @ 4-c-5', 'Zn @ 4-c-5', 'Zn @ 4-c-5', 'Zr @ 2-b-5', 'Zr @ 4-c-5')"
4d28916f8f55b981dd518507d854fe40d94f33b3,Zr(ZnN3)2,1.1408026277777772,"('N @ 48-f-227', 'Zn @ 16-c-227', 'Zr @ 8-b-227')"
49464ec0360fb436ceccab918a528bb6e281fbb4,HfZnN3,0.22218516500000085,"('Hf @ 4-c-63', 'N @ 4-c-63', 'N @ 8-g-63', 'Zn @ 4-a-63')"
ac9bb791ab187948e882a7055afae922137f6136,ZrZn11N4,0.57992429375,"('N @ 1-a-123', 'N @ 1-c-123', 'N @ 2-f-123', 'Zn @ 1-b-123', 'Zn @ 2-e-123', 'Zn @ 4-l-123', 'Zn @ 4-n-123', 'Zr @ 1-d-123')"
b4191739497f2e0a4442bb29b1ec0d855d500d37,ZrZnN3,0.8168806650000002,"('N @ 6-h-194', 'Zn @ 2-c-194', 'Zr @ 2-b-194')"
93c67c641a025eeb65a7319d10e24fd2286f33c8,HfZnN3,-0.34992833499999865,"('Hf @ 4-b-31', 'N @ 2-a-31', 'N @ 2-a-31', 'N @ 4-b-31', 'N @ 4-b-31', 'Zn @ 2-a-31', 'Zn @ 2-a-31')"
